Component Name,Quantity,Cost per Unit (ZAR),Supplier,Supplier Stock Code,Direct URL / Link,Line Total (ZAR),System / Purpose
Buck Regulator 6-24V to 5V 2A,1,55.20,Micro Robotics,CHR-624-2A,https://www.robotics.org.za/index.php?page=14&path=173&route=product%2Fcategory,55.20,5V control power
Heatshrink Kit Black & Red 7mm,1,12.65,Micro Robotics,HS07RB-KIT,https://www.robotics.org.za/HS07RB-KIT,12.65,Electrical insulation
M3 Nut/Bolt/Spacer Kit 20 pack,2,25.30,Micro Robotics,M3-L6-KIT,https://www.robotics.org.za/M3-L6-KIT,50.60,Electronics fastening
M3 x10mm Countersunk Self-Tapping Screws 20 pack,2,5.75,Micro Robotics,M3-L10-ST,https://www.robotics.org.za/index.php?page=48&path=173&route=product%2Fcategory,11.50,Panel fastening
LM35 Gravity Temperature Sensor,1,74.75,Micro Robotics,DFR0023,https://www.robotics.org.za/DFR0023,74.75,Telemetry / health
5V Active Buzzer 4 pack,1,18.40,Micro Robotics,BUZ-50V-PCB,https://www.robotics.org.za/BUZ-50V-PCB,18.40,Warning indication
EVPEAK E3 LiPo Charger 220V,1,450.00,Smitties Hobbies,EVPEAK E3,https://www.smittieshobbies.com/batteries-chargers,450.00,Ground charging equipment
XT60 Charger Cable,1,69.00,Smitties Hobbies,XT60 CHARGER CABLE,https://www.smittieshobbies.com/batteries-chargers,69.00,Ground charging equipment
Battery Strap 20x200mm pack of 2,1,30.00,Smitties Hobbies,BATTERY STRAP 20x200 2PKT,https://www.smittieshobbies.com/li-po-and-li-fe-batteries,30.00,Battery restraint
TOTAL PROCUREMENT COST,,,,,,15985.04,
